Time,Target,Actual,Upper_Limit,Lower_Limit,Violations
37.96,15.0,0.0,17.0,13.0,2
38.06,14.8,0.0,16.8,12.8,2
38.16,14.5,0.0,16.5,12.5,2
38.26,14.3,0.0,16.3,12.3,2
38.36,14.0,0.0,16.0,12.0,2
38.46,13.7,0.0,15.7,11.7,2
38.56,13.4,0.0,15.4,11.4,2
38.66,13.1,0.0,15.1,11.1,2
38.77,12.8,0.0,14.8,10.8,2
38.87,12.6,0.0,14.6,10.6,2
38.97,12.3,0.0,14.3,10.3,2
39.07,11.7,0.0,13.7,9.7,2
39.17,11.1,0.0,13.1,9.1,2
39.27,10.4,0.0,12.4,8.4,2
39.37,9.8,0.0,11.8,7.8,2
39.47,9.1,0.0,11.1,7.1,2
39.58,8.5,0.0,10.5,6.5,2
39.68,7.8,0.0,9.8,5.8,2
39.78,7.1,0.0,9.1,5.1,2
39.88,6.5,0.0,8.5,4.5,2
39.98,5.8,0.0,7.8,3.8,2
40.08,5.2,0.0,7.2,3.2,2
40.18,4.7,0.0,6.7,2.7,2
40.28,4.1,0.0,6.1,2.1,2
40.38,3.5,0.0,5.5,1.5,2
40.48,2.9,0.0,4.9,0.9,2
40.59,2.4,0.0,4.4,0.4,2
40.69,1.8,0.0,3.8,-0.2,2
40.79,1.2,0.0,3.2,-0.8,2
40.89,0.6,0.0,2.6,-1.4,2
40.99,0.0,0.0,2.0,-2.0,2
41.09,0.1,0.0,2.1,-1.9,2
41.19,0.2,0.0,2.2,-1.8,2
41.30,0.3,0.0,2.3,-1.7,2
41.40,0.4,0.0,2.4,-1.6,2
41.50,0.5,0.0,2.5,-1.5,2
41.60,0.6,0.0,2.6,-1.4,2
41.70,0.7,0.0,2.7,-1.3,2
41.80,0.8,0.0,2.8,-1.2,2
41.90,0.9,0.0,2.9,-1.1,2
42.00,1.0,0.0,3.0,-1.0,2
42.10,2.0,0.0,4.0,-0.0,2
42.21,3.0,0.0,5.0,1.0,3
42.31,4.0,0.0,6.0,2.0,3
42.41,5.0,0.0,7.0,3.0,3
42.52,6.1,0.0,8.1,4.1,3
42.62,7.1,0.0,9.1,5.1,3
42.72,8.1,0.0,10.1,6.1,3
42.82,9.1,0.0,11.1,7.1,3
42.93,10.1,0.0,12.1,8.1,3
43.03,11.1,0.0,13.1,9.1,3
43.13,12.1,0.0,14.1,10.1,3
43.23,13.1,0.0,15.1,11.1,3
43.33,14.1,0.0,16.1,12.1,3
43.43,15.1,0.0,17.1,13.1,3
43.53,16.1,0.0,18.1,14.1,3
43.63,17.1,0.0,19.1,15.1,3
43.73,18.1,0.0,20.1,16.1,3
43.84,19.1,0.0,21.1,17.1,3
43.94,20.2,0.0,22.2,18.2,3
44.04,20.8,0.0,22.8,18.8,3
44.14,21.0,0.0,23.0,19.0,3
44.24,21.1,0.0,23.1,19.1,3
44.34,21.3,0.0,23.3,19.3,3
44.45,21.4,0.0,23.4,19.4,3
44.55,21.5,0.0,23.5,19.5,3
44.65,21.7,0.0,23.7,19.7,3
44.75,21.8,0.0,23.8,19.8,3
44.85,22.0,0.0,24.0,20.0,3
44.95,22.1,0.0,24.1,20.1,3
45.05,22.4,0.0,24.4,20.4,3
45.15,22.9,0.0,24.9,20.9,3
45.25,23.5,0.0,25.5,21.5,3
45.36,24.0,0.0,26.0,22.0,3
45.46,24.5,0.0,26.5,22.5,3
45.56,25.0,0.0,27.0,23.0,3
45.66,25.5,0.0,27.5,23.5,3
45.76,26.0,0.0,28.0,24.0,3
45.86,26.5,0.0,28.5,24.5,3
45.96,27.0,0.0,29.0,25.0,3
46.06,27.5,0.0,29.5,25.5,3
46.17,28.1,0.0,30.1,26.1,3
46.27,28.7,0.0,30.7,26.7,3
46.37,29.3,0.0,31.3,27.3,3
46.47,29.8,0.0,31.8,27.8,3
